t_bridge,mission_state,x_m,y_m,yaw_rad,raw_x_m,raw_y_m,raw_yaw_rad,encoder_yaw_rad,pixhawk_yaw_rad,pixhawk_age_s,yaw_source,pixhawk_weight,encoder_weight,linear_x_mps,angular_z_radps,event_type,event_message
5924.109316249,navigating,0.07766618992619087,-0.019238690835104554,0.21818919173996099,0.4525835525506041,0.5653310539521768,2.7796889572889554,2.396647052408709,-3.1136202812194824,0.07107151499985775,pixhawk_fused,0.0,1.0,0.1912069469690323,0.46296441555023193,odom,
5924.227925966,navigating,0.09862887392382039,-0.022237804895315724,0.2719984248665339,0.4366939368333247,0.5793292294721442,2.8334981904155283,2.450456285535282,3.103947877883911,0.08869190000041272,pixhawk_fused,0.0,1.0,0.20743773877620697,0.43759819865226746,odom,
5924.328977392,navigating,0.11726145188087606,-0.024001733721799326,0.31488893151004094,0.42207624212498757,0.5910171466366568,2.8763886970590353,2.493346792178789,3.103947877883911,0.190007011000489,pixhawk_fused,0.0,1.0,0.21216930449008942,0.4921351373195648,odom,
5924.433408699,navigating,0.13621962532993087,-0.025031304395817265,0.3480425026950478,0.40678371262248825,0.6022692974405002,2.909542268244042,2.526500363363796,3.056877851486206,0.09575016100006906,pixhawk_fused,0.0,1.0,0.21925297379493713,0.23733077943325043,odom,
5924.54916196,navigating,0.15942196957013094,-0.02550846934408267,0.3783569599940546,0.38763853435790857,0.6153856465455699,2.939856725543049,2.5568148206628027,2.9929049015045166,0.0890864729999521,pixhawk_fused,0.0,1.0,0.22513295710086823,0.24369564652442932,odom,
5924.650078757,navigating,0.17921720243476147,-0.02549381659318742,0.38987542390729946,0.37107353796877823,0.6262231902477267,2.951375189456294,2.5683332845760476,2.970208168029785,0.00966960699952324,pixhawk_fused,0.0,1.0,0.23075707256793976,0.10466714948415756,odom,
5924.766618257,navigating,0.20226552209598067,-0.025287810920605294,0.3912439349514951,0.35168274073844075,0.6386837063010374,2.9527437005004895,2.5697017956202433,2.9586076736450195,0.03184599799988064,pixhawk_fused,0.0,1.0,0.21906417608261108,-0.07383060455322266,odom,
5924.870506917,navigating,0.21921564055507026,-0.02515141916925623,0.3912049013916432,0.33743070609903314,0.6478600142254769,2.9527046669406376,2.5696627620603913,2.957974672317505,0.008278461000372772,pixhawk_fused,0.0,1.0,0.17787957191467285,-0.0329304002225399,odom,
5924.970901623,navigating,0.23550209551383885,-0.02502533647895709,0.38910870647295814,0.3237394178168409,0.6566811897221269,2.9506084720219525,2.5675665671417063,2.957974672317505,0.10873098100000789,pixhawk_fused,0.0,1.0,0.19001224637031555,-0.06750087440013885,odom,
5925.090452616,navigating,0.2566090354531078,-0.024922170754837367,0.3836879843445842,0.306028780124097,0.6681636489222677,2.9451877498935786,2.5621458450133323,2.958343267440796,0.05034588000035001,pixhawk_fused,0.0,1.0,0.20324645936489105,-0.033816296607255936,odom,
5925.206249896,navigating,0.27858196264806456,-0.025053278063793136,0.3881798093817057,0.2877222259544775,0.6803167058659391,2.9496795749307,2.566637670050454,2.9697701930999756,0.0513566190002166,pixhawk_fused,0.0,1.0,0.19362856447696686,0.5926863551139832,odom,
5925.329861455,navigating,0.29784608874280716,-0.024651660674607223,0.4056167482934736,0.2713893575539404,0.6905394873138707,2.967116513842468,2.5840746089622217,2.9697701930999756,0.17445273399971484,pixhawk_fused,0.0,1.0,0.17735765874385834,-0.2955598533153534,odom,
5925.445999791,navigating,0.31675913036364384,-0.024592798940045735,0.3645553654785747,0.2555380052632242,0.7008565236427251,2.926055131027569,2.543013226147323,2.8271493911743164,0.10300051599915605,pixhawk_fused,0.0,1.0,0.17264583706855774,-0.16940487921237946,odom,
5925.546321461,navigating,0.33262278166487214,-0.02495219044439509,0.3551149775667244,0.24246644412280688,0.709852016081313,2.9166147431157188,2.5335728382354725,2.7699663639068604,0.08981686100014485,pixhawk_fused,0.0,1.0,0.1633046567440033,0.032970499247312546,odom,
5925.646434149,navigating,0.34636594293299605,-0.025478152120010256,0.34030154552084513,0.2312597831263586,0.7178245857195515,2.9018013110698395,2.5187594061895933,2.705105781555176,0.01203919300041889,pixhawk_fused,0.0,1.0,0.16237090528011322,0.03392971307039261,odom,
5925.766352495,navigating,0.36218688832934076,-0.026126834404329224,0.3410930629368587,0.21838250245478183,0.7270386371870411,2.902592828485853,2.519550923605607,2.650954008102417,0.004229600999678951,pixhawk_fused,0.0,1.0,0.13313014805316925,0.0,odom,
5925.867158441,navigating,0.3723821501281867,-0.026644573748592526,0.3209266649723421,0.21013883955864424,0.7330597200822061,2.8824264305213365,2.4993845256410903,2.569951057434082,0.033152070000141975,pixhawk_fused,0.0,1.0,0.14705471694469452,0.2374209314584732,odom,
5925.967491074,navigating,0.39206872791132064,-0.027301367258237758,0.40414717538364764,0.19403274434651552,0.7443993152929507,2.965646940932642,2.5826050360523958,2.5754849910736084,0.034080215000358294,pixhawk_fused,0.0,1.0,0.2347061038017273,1.2543368339538574,odom,
5926.086459884,navigating,0.41074787719742656,-0.0267045340172046,0.3923912107853833,0.17808215929023885,0.7541381891669012,2.9538909763343777,2.5708490714541314,3.0473082065582275,0.036102265999943484,pixhawk_fused,0.0,1.0,0.16207453608512878,-0.5748474597930908,odom,
5926.187186331,navigating,0.4206044505888291,-0.026835518561712013,0.32714656635440775,0.16990979841792112,0.7596501501377004,2.888646331903402,2.505604427023156,3.0473082065582275,0.13650784299989027,pixhawk_fused,0.0,1.0,0.0797230526804924,-0.7098572254180908,odom,
5926.306556346,navigating,0.4269596437130816,-0.027255609592583663,0.3275737958195828,0.16482449284922437,0.763484810930228,2.889073561368577,2.506031656488331,-2.727437734603882,0.034589195999615185,pixhawk_fused,0.0,1.0,0.07257023453712463,0.42759573459625244,odom,
5926.406563851,navigating,0.4358851768497067,-0.027545139628613685,0.38367935962090094,0.15751776402037163,0.7686190765287696,2.9451791251698953,2.562137220289649,-2.764272451400757,0.05575631300052919,pixhawk_fused,0.0,1.0,0.10262227058410645,0.5395491719245911,odom,
5926.529589154,navigating,0.4465613659479084,-0.02729634687750221,0.4317864993995775,0.14845171039197003,0.7742626200167311,2.993286264948572,2.6102443600683256,-2.764272451400757,0.17828915399968537,pixhawk_fused,0.0,1.0,0.0972893238067627,0.26918572187423706,odom,
5926.64880665,navigating,0.45487950087592677,-0.02673201344051515,0.48089505596789106,0.14118501259362495,0.7783497882315648,3.0423948215168855,2.659352916636639,-2.9066243171691895,0.005321895000633958,pixhawk_fused,0.0,1.0,0.07548262923955917,0.3520525395870209,odom,
5926.767302982,navigating,0.46278533014515016,-0.02587740005247735,0.5032167388409183,0.13410406917450576,0.7819681774826482,3.0647165043899127,2.6816745995096665,-2.9066243171691895,0.12448096600019198,pixhawk_fused,0.0,1.0,0.06447970122098923,0.16950498521327972,odom,
5926.886606293,navigating,0.4696030559090504,-0.0249570645517726,0.5382280299252451,0.12789720590593925,0.7849352046801854,3.0997277954742395,2.7166858905939932,-2.9411702156066895,0.05112967600052798,pixhawk_fused,0.0,1.0,0.05661160498857498,0.2705840766429901,odom,
5926.987444389,navigating,0.47480875560584,-0.02408721450766066,0.5579452785272196,0.12306633132854716,0.7870609043884943,3.119445044076214,2.736403139195968,-2.9792184829711914,0.0464750199998889,pixhawk_fused,0.0,1.0,0.07462811470031738,0.16912347078323364,odom,
5927.08748393,navigating,0.48095788520099925,-0.02297772839791451,0.5740899883832276,0.11731501598832288,0.7895032651446243,3.135589753932222,2.7525478490519757,-2.988978147506714,0.03139431500039791,pixhawk_fused,0.0,1.0,0.07650639116764069,0.26071226596832275,odom,
,reached,0.48095788520099925,-0.02297772839791451,0.5740899883832276,,,,,,,True,0.0,1.0,,,mission_status,reached waypoint 1/1
5927.206387873,reached,0.4888414484740609,-0.02140015798065112,0.5816707445037883,0.10985644218238534,0.7925047606190792,-3.1400147971268035,2.7601286051725364,-2.988978147506714,0.1501933139998073,pixhawk_fused,0.0,1.0,0.07160127907991409,-0.1045701801776886,odom,
5927.307360803,reached,0.4932506929127845,-0.020536700769860528,0.5546083193887297,0.10569523605674415,0.794199268941634,3.116108084937724,2.733066180057478,-3.004187822341919,0.028593877000275825,pixhawk_fused,0.0,1.0,0.03194462135434151,-0.4198819696903229,odom,
,done,0.4932506929127845,-0.020536700769860528,0.5546083193887297,,,,,,,True,0.0,1.0,,,mission_status,mission complete
