t_bridge,mission_state,x_m,y_m,yaw_rad,raw_x_m,raw_y_m,raw_yaw_rad,linear_x_mps,angular_z_radps
11275.011607938,navigating,0.19750514603726796,0.004908986743919361,-0.04063040525493422,-2.701096773147583,-0.3962935507297516,-2.4287916268052467,0.2855238616466522,-0.16895782947540283
11275.111819901,navigating,0.22562291962563272,0.003660342552819093,-0.04802521851872088,-2.722458600997925,-0.414619505405426,-2.4361864400690334,0.2766387164592743,-0.06733617186546326
11275.231567046,navigating,0.25905848398333653,0.0021097789500922615,-0.04126369410134734,-2.7479054927825928,-0.4363633990287781,-2.42942491565166,0.27665263414382935,0.03398449346423149
11275.332125322,navigating,0.2874140696339703,0.0011247648159813661,-0.02505309465941119,-2.7692604064941406,-0.45504432916641235,-2.4132143162097237,0.2829872667789459,0.13525819778442383
11275.4511991,navigating,0.32177944887651033,0.0005901899212982786,-0.006118778733928298,-2.7946903705596924,-0.4781653583049774,-2.394280000284241,0.2893452048301697,0.10096922516822815
11275.551277433,navigating,0.3502885984962782,0.0005299898701236205,0.0006313455027759929,-2.8155245780944824,-0.49762585759162903,-2.3875298760475365,0.2830367684364319,-9.306828724220395e-05
11275.651350747,navigating,0.37817195902367856,0.0005327448816782598,0.0006084209046699485,-2.8358592987060547,-0.5167041420936584,-2.3875528006456426,0.28292399644851685,0.07016542553901672
11275.77134639,navigating,0.4112834483778067,0.0005596689318574655,0.005298524624662182,-2.8599905967712402,-0.5393768548965454,-2.3828626969256503,0.2740119993686676,0.06795526295900345
11275.871458518,navigating,0.43914400491065675,0.000763238555517104,0.012065774466816226,-2.880171298980713,-0.5585860013961792,-2.3760954470834963,0.27537956833839417,0.1014842838048935
11275.991506401,navigating,0.4728422362091158,0.0012605908662072784,0.014108569944314642,-2.9044086933135986,-0.5820032358169556,-2.374052651605998,0.2790612578392029,-0.10095405578613281
11276.092706803,navigating,0.5013421307454933,0.0016230016630600919,0.0059509158706343435,-2.9249470233917236,-0.6017656326293945,-2.382210305679678,0.27348071336746216,-0.15628886222839355
