t_bridge,mission_state,x_m,y_m,yaw_rad,raw_x_m,raw_y_m,raw_yaw_rad,linear_x_mps,angular_z_radps,event_type,event_message
1672.634473639,navigating,0.03169937037509145,0.006807385503744268,0.4334974058713459,0.673050045967102,-4.047468662261963,-1.4494689865029353,0.048665497452020645,0.6396621465682983,odom,
1672.753699932,navigating,0.037485325740132386,0.009739315915461563,0.5201411869521402,0.6740632653236389,-4.05387544631958,-1.362825205422141,0.05168933793902397,0.7473664283752441,odom,
1672.854233909,navigating,0.04183301729048685,0.012390973683241113,0.5884365664911222,0.6752514839172363,-4.0588274002075195,-1.294529825883159,0.049107957631349564,0.6454778909683228,odom,
1672.974191229,navigating,0.04623711398539001,0.015521490600733719,0.6608248774284893,0.6768780946731567,-4.0639801025390625,-1.222141514945792,0.04104634374380112,0.6069693565368652,odom,
1673.074721965,navigating,0.04985930962206646,0.01848823210559976,0.7237320363777697,0.6785889863967896,-4.068338394165039,-1.1592343559965115,0.04618462175130844,0.6070533990859985,odom,
1673.194166075,navigating,0.05462802021735235,0.02302431306165858,0.8116112045083317,0.6814412474632263,-4.074269771575928,-1.0713551878659495,0.06691466271877289,0.8795302510261536,odom,
1673.296044513,navigating,0.05952686963153049,0.028607255268561393,0.9092722453098405,0.6852498054504395,-4.080646514892578,-0.9736941470644407,0.07815559208393097,1.027281641960144,odom,
1673.413984772,navigating,0.06547577198340052,0.037232193049557,1.048442891921749,0.6916308403015137,-4.088956832885742,-0.8345235004525322,0.10063373297452927,1.3227356672286987,odom,
1673.51487592,navigating,0.0708623884032593,0.04815062213313982,1.208637763493181,0.7003672122955322,-4.097436428070068,-0.6743286288811,0.12110043317079544,1.591751217842102,odom,
1673.615086078,navigating,0.07361172651355011,0.05656390380694611,1.325046102659039,0.7075294852256775,-4.102636814117432,-0.5579202897152423,0.06980252265930176,0.9174884557723999,odom,
1673.716796962,navigating,0.07437159944569398,0.05981726819581762,1.3689647473477127,0.7103922367095947,-4.104359149932861,-0.5140016450265685,0.0047210571356117725,0.062053851783275604,odom,
1673.834304962,navigating,0.07437159944569398,0.05981726819581762,1.3689647473477127,0.7103922367095947,-4.104359149932861,-0.5140016450265685,0.0,0.0,odom,
1673.953909635,navigating,0.07437159944569398,0.05981726819581762,1.3689647473477127,0.7103922367095947,-4.104359149932861,-0.5140016450265685,0.0,0.0,odom,
1674.054086687,navigating,0.07437159944569398,0.05981726819581762,1.3689647473477127,0.7103922367095947,-4.104359149932861,-0.5140016450265685,0.0,0.0,odom,
1674.174141199,navigating,0.07437159944569398,0.05981726819581762,1.3689647473477127,0.7103922367095947,-4.104359149932861,-0.5140016450265685,0.0,0.0,odom,
1674.274294231,navigating,0.07437159944569398,0.05981726819581762,1.3689647473477127,0.7103922367095947,-4.104359149932861,-0.5140016450265685,0.0,0.0,odom,
1674.394584746,navigating,0.07438192084759612,0.059867572895015805,1.3682899895252123,0.7104369401931763,-4.104384422302246,-0.514676402849069,0.0,0.0,odom,
1674.515104726,navigating,0.07439220563739973,0.05991799104203879,1.3676133509106454,0.7104817628860474,-4.104409694671631,-0.5153530414636358,0.0,0.0,odom,
1674.615309982,navigating,0.07441335329071845,0.06002014126329652,1.3662424748153001,0.7105724811553955,-4.104461193084717,-0.5167239175589811,0.0,0.0,odom,
1674.734429932,navigating,0.07453023000518043,0.06057400757802439,1.358804754927123,0.7110636830329895,-4.104742527008057,-0.5241616374471583,0.007677910849452019,-0.10091891139745712,odom,
1674.854121056,navigating,0.07509386945892316,0.063033444628699,1.3256359537905005,0.7132311463356018,-4.106034278869629,-0.5573304385837808,0.03353448584675789,-0.4407792389392853,odom,
1674.97597967,navigating,0.0764641060265907,0.06800216644580226,1.2646379745908738,0.7175388932228088,-4.1088643074035645,-0.6183284177834073,0.040154773741960526,-0.5277966856956482,odom,
1675.09438513,navigating,0.07821990739947529,0.07304151786343714,1.194476156878868,0.7217954397201538,-4.1120829582214355,-0.6884902354954131,0.04373439401388168,-0.5748474597930908,odom,
1675.21484256,navigating,0.08072827884094308,0.07880130665620301,1.1118822476081145,0.7265064716339111,-4.116239070892334,-0.7710841447661667,0.05946439877152443,-0.7816035151481628,odom,
1675.334373256,navigating,0.08431237368059291,0.08539339991615602,1.0240369633342072,0.7316792011260986,-4.121674537658691,-0.8589294290400739,0.0742276981472969,-0.7064959406852722,odom,
1675.434877131,navigating,0.08875653117466416,0.09226261581576711,0.9597521309478756,0.7368515133857727,-4.128013610839844,-0.9232142614264056,0.09250416606664658,-0.607917308807373,odom,
1675.554445198,navigating,0.09584630173431383,0.101682571631287,0.8778267178294792,0.7436387538909912,-4.137653827667236,-1.005139674544802,0.10580621659755707,-0.7801377773284912,odom,
1675.674646479,navigating,0.10495527228687271,0.11194882677011679,0.8014360375387988,0.7506112456321716,-4.149475574493408,-1.0815303548354824,0.12035911530256271,-0.5722153186798096,odom,
1675.794321905,navigating,0.11788777769215963,0.12439958131448496,0.7222929171929602,0.7584883570671082,-4.16560697555542,-1.160673475181321,0.1775989830493927,-0.6427979469299316,odom,
1675.894387131,navigating,0.1325679727662043,0.1367540278489498,0.6742378167421237,0.7657370567321777,-4.1833720207214355,-1.2087285756321575,0.195176899433136,-0.33755484223365784,odom,
1676.015093995,navigating,0.15139583625675188,0.1515524042933151,0.6627350010981157,0.7740377187728882,-4.205834865570068,-1.2202313912761655,0.19129139184951782,0.06795526295900345,odom,
1676.134282971,navigating,0.16864811307896693,0.1651375101556709,0.6769447693404129,0.7816676497459412,-4.226425647735596,-1.2060216230338683,0.17181989550590515,0.23600900173187256,odom,
1676.235974587,navigating,0.18112958321082287,0.1753233124661665,0.6973114769588151,0.7875277996063232,-4.241432189941406,-1.185654915415466,0.14005504548549652,0.218410924077034,odom,
1676.353919251,navigating,0.19241498930096151,0.18493791684160402,0.7182064801684023,0.7932116985321045,-4.255125045776367,-1.164759912205879,0.11376368999481201,0.20390677452087402,odom,
1676.454445409,navigating,0.20016585500584655,0.19178304824290127,0.7310648304028504,0.7973455190658569,-4.264603614807129,-1.1519015619714308,0.09026253968477249,0.1016928181052208,odom,
1676.57426791,navigating,0.20751645385424583,0.19844940047325677,0.7425685540654645,0.8014321327209473,-4.273646354675293,-1.1403978383088167,0.07422719150781631,0.03364298492670059,odom,
1676.674312639,navigating,0.2124675105886097,0.20302441165052162,0.7500081378273982,0.8042654395103455,-4.279763221740723,-1.132958254546883,0.06579898297786713,0.03760284185409546,odom,
1676.774590353,navigating,0.21693828843018348,0.20721055963025137,0.7547517783611624,0.8068761825561523,-4.285303592681885,-1.1282146140131188,0.07182125747203827,0.0,odom,
1676.894117172,navigating,0.22213708628460296,0.21212024531916734,0.7608337229880824,0.809951901435852,-4.291759014129639,-1.1221326693861988,0.059186145663261414,0.10145211219787598,odom,
1676.99446161,navigating,0.2256368626435104,0.21546166271159226,0.7648850488541219,0.8120569586753845,-4.296115875244141,-1.1180813435201593,0.04109718278050423,0.06753624975681305,odom,
