t_bridge,mission_state,x_m,y_m,yaw_rad,raw_x_m,raw_y_m,raw_yaw_rad,encoder_yaw_rad,pixhawk_yaw_rad,pixhawk_yaw_ros_rad,pixhawk_gyro_yaw_rad,pixhawk_age_s,yaw_source,pixhawk_weight,encoder_weight,pixhawk_yaw_mode,pixhawk_yaw_sign,linear_x_mps,angular_z_radps,cmd_linear_x_mps,cmd_angular_z_radps,cmd_age_s,actual_left_mps,actual_right_mps,cmd_left_mps,cmd_right_mps,turn_abs_balance_error_mps,turn_linear_leak_ratio,event_type,event_message
7710.909507395,navigating,0.01602971246517343,-0.45566311505853163,1.7516267001651127,-6.563618606321166,-5.597100255794,-0.06875021598304598,-0.14153124639812534,1.3717494010925293,1.8718483448054506,-1.8718483448054506,0.008729117000257247,pixhawk_fused,0.8,0.2,gyro,-1.0,0.17556077241897583,-0.27148008346557617,0.2306948698013851,-0.6666666666666666,0.04247850499996275,0.19621497716903685,0.1549065676689148,0.2814148698013851,0.1799748698013851,0.041308409500122045,8.50000155142536,odom,
7711.009629395,navigating,0.014431218207915958,-0.43885827368106556,1.7443540838552511,-6.546939620272956,-5.599702044028254,-0.07602283229290752,-0.1779997598485878,1.3717494010925293,1.8718483448054506,-1.8718483448054506,0.10885567400055152,pixhawk_fused,0.8,0.2,gyro,-1.0,0.1807062029838562,-0.4071793854236603,0.20107973308693897,-0.6666666666666666,0.042145864000303845,0.21168441062688828,0.14972799534082412,0.251799733086939,0.15035973308693898,0.06195641528606416,5.8333330664630125,odom,
7711.11013386,navigating,0.01355699996148392,-0.4218442672744723,1.6969515820675718,-6.530236844355187,-5.603057330631034,-0.12342533408058687,-0.23097826819038964,1.420217514038086,1.8258326739098742,-1.8258326739098742,0.09617051200075366,pixhawk_fused,0.8,0.2,gyro,-1.0,0.17488569021224976,-0.5911484956741333,0.2010981083765371,-0.6666666666666666,0.042536163000477245,0.21986026776313783,0.12991111266136168,0.2518181083765371,0.15037810837653712,0.08994915510177615,3.8885454791513987,odom,
7711.231116779,navigating,0.013713210076669646,-0.3991985951317324,1.6470935741878199,-6.508331406963896,-5.608802126632004,-0.1732833419603388,-0.28496386796844153,1.4678963422775269,1.7770007537927344,-1.7770007537927344,0.10527857400029461,pixhawk_fused,0.8,0.2,gyro,-1.0,0.21102800965309143,-0.2706111669540405,0.24,-0.28549631686349264,0.012647784999899159,0.23161610723495482,0.19043991207122804,0.2617205597869745,0.21827944021302548,0.04117619516372678,10.25000045846837,odom,
7711.350380817,navigating,0.01495242251445135,-0.3734724436910043,1.5927543596387985,-6.483708434472996,-5.616357240206905,-0.22762255650936014,-0.3092863688112663,1.534392237663269,1.7151904867615415,-1.7151904867615415,0.02857486900029471,pixhawk_fused,0.8,0.2,gyro,-1.0,0.2179037183523178,-0.10101593285799026,0.24,-0.23057482790829562,0.03277776399954746,0.2255890105241537,0.21021842618048192,0.25754213290726313,0.22245786709273685,,,odom,
7711.45120092,navigating,0.01639974608512189,-0.35154484791033735,1.5702342200527735,-6.462817726517888,-5.623175782820463,-0.2501426960953852,-0.32350754811165167,1.5547010898590088,1.6906014548417045,-1.6906014548417045,0.027748820999477175,pixhawk_fused,0.8,0.2,gyro,-1.0,0.22815252840518951,-0.10108480602502823,0.24,0.09359933095394454,0.03191778600012185,0.23584306044757367,0.22046199636280536,0.2328789629010239,0.2471210370989761,,,odom,
7711.571500758,navigating,0.01841605799095744,-0.32445352258325105,1.5715805672219134,-6.43706382022796,-5.631821112917647,-0.24879634892624525,-0.31676317284445715,1.5547010898590088,1.6906014548417045,-1.6906014548417045,0.1479843159995653,pixhawk_fused,0.8,0.2,gyro,-1.0,0.2323482185602188,0.13573317229747772,0.24,0.3081108359043085,0.0039713060004942236,0.2220216388118267,0.2426747983086109,0.2165589276044002,0.2634410723955998,0.0206531594967842,22.500016871161673,odom,
7711.672874187,navigating,0.019703010635832616,-0.3013855458582815,1.5693428417832544,-6.415028453549078,-5.638765924838864,-0.2510340743649042,-0.28700855695318894,1.563542127609253,1.680376088785739,-1.680376088785739,0.07228909599962208,pixhawk_fused,0.8,0.2,gyro,-1.0,0.2478380799293518,0.33933311700820923,0.24,0.38680182202254954,0.004377737000140769,0.22202161638736725,0.2736545434713364,0.21057211738052442,0.26942788261947553,0.05163292708396913,9.600001159194404,odom,
7711.790140342,navigating,0.02024684955318897,-0.2731795178552689,1.6211310225247724,-6.387830685175926,-5.646259733749901,-0.1992458936233863,-0.24123215984459329,1.5099310874938965,1.733666142898412,-1.733666142898412,0.03218162699977256,pixhawk_fused,0.8,0.2,gyro,-1.0,0.24361853301525116,0.4381870627403259,0.23037734730596707,0.3625023175233019,0.023003646000688605,0.21028126128196717,0.27695580474853515,0.20279817098879427,0.25795652362313987,0.06667454346656798,7.307692571975586,odom,
7711.909584762,navigating,0.019506133758044775,-0.24628341046751082,1.629685851230059,-6.361584969082618,-5.652185241260021,-0.19069106491809973,-0.19844652475235752,1.5099310874938965,1.733666142898412,-1.733666142898412,0.15177053200022783,pixhawk_fused,0.8,0.2,gyro,-1.0,0.21165722608566284,0.339203804731369,0.2081068096643635,0.22155793853706068,0.04254494999986491,0.18585060062170028,0.2374638515496254,0.19125068170046394,0.22496293762826308,0.051613250927925125,8.20166225844715,odom,
